,Temperature,Humidity,Sound_speed_20,0.05,0.545,1.04,1.535,2.03,2.525,3.0199999999999996,3.5149999999999997,4.01,4.505,5.0
0,0.0,0.0,337.9931941506484,37.11705419138145,40.08863585839502,42.63629909197568,44.65274545784855,48.227632600028514,94.98092264069919,99.47296206168487,105.7945442944923,110.79800446610825,116.03809889760873,125.32807879691089
1,2.0,0.0,353.7826162170558,35.99103948723757,36.54971084772008,37.11705419138145,37.693204129189006,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.98459272639334
2,4.0,0.0,321.6254849908107,35.99103948723757,37.11705419138145,38.27829736161054,38.872472711048495,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,44.65274545784855
3,6.0,0.0,348.86480499960453,38.27829736161054,49.73648103084244,52.08872427338086,54.5522147967359,56.258933937941066,58.01904944880436,60.76300949937213,62.66403939845544,65.62768017420258,66.6463866603332,68.73148374079413
4,8.0,0.0,325.6920031904523,35.99103948723757,38.27829736161054,40.08863585839502,41.98459272639334,43.29812157776688,43.97021721136937,44.65274545784855,46.04975006461351,57.13221394346994,57.13221394346994,58.01904944880436
5,10.0,0.0,359.1232989691513,35.99103948723757,36.54971084772008,37.11705419138145,37.693204129189006,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,42.63629909197568,43.29812157776688
6,12.0,0.0,335.2286548285088,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.29812157776688,43.97021721136937,44.65274545784855
7,14.0,0.0,354.60992907801415,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568
8,16.0,0.0,340.7036573494646,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688
9,18.0,0.0,339.863438092449,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206,46.04975006461351
10,20.0,0.0,328.4426901020333,37.11705419138145,38.27829736161054,38.872472711048495,40.08863585839502,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568
11,22.0,0.0,344.4505194095135,37.11705419138145,38.27829736161054,38.872472711048495,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937
12,24.0,0.0,351.03080474408983,37.11705419138145,39.47587115477783,41.342847853623134,42.63629909197568,43.97021721136937,46.04975006461351,51.29253525353195,117.83930173871916,125.32807879691089,133.2927733206664,143.96415794895032
13,26.0,0.0,344.21392778532294,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206,46.04975006461351
14,28.0,0.0,342.75854564673324,37.693204129189006,47.490461320349596,49.73648103084244,51.29253525353195,52.89727214724615,54.5522147967359,56.258933937941066,57.13221394346994,58.91965086935957,59.83423188672673,60.76300949937213
